"","mb","pw","emp.if","emp.pi","delta","rate"
"1",0.59,0.87,TRUE,FALSE,1,2
"2",0.59,0.89,TRUE,FALSE,1.28571428571429,2
"3",0.59,0.97,TRUE,FALSE,1.57142857142857,2
"4",0.59,0.95,TRUE,FALSE,1.85714285714286,2
"5",0.59,1,TRUE,FALSE,2.14285714285714,2
"6",0.59,0.97,TRUE,FALSE,2.42857142857143,2
"7",0.59,0.93,TRUE,FALSE,2.71428571428571,2
"8",0.59,0.99,TRUE,FALSE,3,2
"9",0.59,0.98,TRUE,FALSE,3.28571428571429,2
"10",0.59,0.93,TRUE,FALSE,3.57142857142857,2
"11",0.59,0.95,TRUE,FALSE,3.85714285714286,2
"12",0.59,0.98,TRUE,FALSE,4.14285714285714,2
"13",0.59,0.95,TRUE,FALSE,4.42857142857143,2
"14",0.59,0.96,TRUE,FALSE,4.71428571428571,2
"15",0.59,0.97,TRUE,FALSE,5,2
"16",0.08,0.45,FALSE,FALSE,1,3
"17",0.08,0.57,FALSE,FALSE,1.28571428571429,3
"18",0.08,0.73,TRUE,FALSE,1.57142857142857,3
"19",0.08,0.73,TRUE,FALSE,1.85714285714286,3
"20",0.08,0.87,TRUE,FALSE,2.14285714285714,3
"21",0.08,0.85,TRUE,FALSE,2.42857142857143,3
"22",0.08,0.96,TRUE,FALSE,2.71428571428571,3
"23",0.08,0.91,TRUE,FALSE,3,3
"24",0.08,0.93,TRUE,FALSE,3.28571428571429,3
"25",0.08,0.95,TRUE,FALSE,3.57142857142857,3
"26",0.08,0.92,TRUE,FALSE,3.85714285714286,3
"27",0.08,0.93,TRUE,FALSE,4.14285714285714,3
"28",0.08,0.98,TRUE,FALSE,4.42857142857143,3
"29",0.08,0.93,TRUE,FALSE,4.71428571428571,3
"30",0.08,0.99,TRUE,FALSE,5,3
"31",0.24,0.61,FALSE,FALSE,1,4
"32",0.24,0.72,TRUE,FALSE,1.28571428571429,4
"33",0.24,0.86,TRUE,FALSE,1.57142857142857,4
"34",0.24,0.83,TRUE,FALSE,1.85714285714286,4
"35",0.24,0.93,TRUE,FALSE,2.14285714285714,4
"36",0.24,0.93,TRUE,FALSE,2.42857142857143,4
"37",0.24,0.98,TRUE,FALSE,2.71428571428571,4
"38",0.24,0.99,TRUE,FALSE,3,4
"39",0.24,0.97,TRUE,FALSE,3.28571428571429,4
"40",0.24,0.95,TRUE,FALSE,3.57142857142857,4
"41",0.24,0.99,TRUE,FALSE,3.85714285714286,4
"42",0.24,0.94,TRUE,FALSE,4.14285714285714,4
"43",0.24,0.98,TRUE,FALSE,4.42857142857143,4
"44",0.24,0.94,TRUE,FALSE,4.71428571428571,4
"45",0.24,0.97,TRUE,FALSE,5,4
"46",0,0.06,FALSE,FALSE,1,6
"47",0,0.11,FALSE,FALSE,1.28571428571429,6
"48",0,0.26,FALSE,FALSE,1.57142857142857,6
"49",0,0.3,FALSE,FALSE,1.85714285714286,6
"50",0,0.53,FALSE,FALSE,2.14285714285714,6
"51",0,0.61,FALSE,FALSE,2.42857142857143,6
"52",0,0.65,TRUE,FALSE,2.71428571428571,6
"53",0,0.78,TRUE,FALSE,3,6
"54",0,0.89,TRUE,FALSE,3.28571428571429,6
"55",0,0.94,TRUE,FALSE,3.57142857142857,6
"56",0,0.95,TRUE,FALSE,3.85714285714286,6
"57",0,0.91,TRUE,FALSE,4.14285714285714,6
"58",0,0.91,TRUE,FALSE,4.42857142857143,6
"59",0,0.92,TRUE,FALSE,4.71428571428571,6
"60",0,0.96,TRUE,FALSE,5,6
